# Rime user dictionary
#@/db_name	jyut6ping3
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	57107
#@/user_id	f0f17d41-97b2-4dca-ad5e-3e828221d473
bin3 sing4 	變成	c=1 d=2.17503e-24 t=57107
bin3 wai4 	變爲	c=1 d=1.75216e-10 t=57107
bin6 	便	c=3 d=1.11257e-49 t=57107
bin6 jyu1 	便於	c=1 d=5.71793e-13 t=57107
bing1 	兵	c=1 d=1.38009e-84 t=57107
bing1 	冰	c=4 d=1.75055e-15 t=57107
bing1 dou2 	冰島	c=2 d=4.44337e-67 t=57107
bing2 	丙	c=2 d=2.19457e-120 t=57107
bing6 	並	c=18 d=2.17805e-08 t=57107
bing6 ce2 	並且	c=3 d=8.77792e-11 t=57107
bing6 mut6 jau5 	並沒有	c=1 d=9.64393e-45 t=57107
bing6 paai4 	並排	c=1 d=3.44424e-20 t=57107
bit1 ding6 	必定	c=1 d=1.7514e-93 t=57107
bit1 jiu3 	必要	c=4 d=3.78684e-18 t=57107
bit1 seoi1 	必須	c=2 d=4.36552e-51 t=57107
bit1 sing3 	必勝	c=1 d=4.52552e-85 t=57107
bit6 	別	c=12 d=1.11685e-06 t=57107
bit6 jan4 	別人	c=6 d=2.2913e-13 t=57107
bit6 ming4 	別名	c=1 d=8.81811e-80 t=57107
bit6 seoi5 	別墅	c=2 d=7.76343e-52 t=57107
biu1 	標	c=7 d=1.44007e-14 t=57107
biu1 	錶	c=79 d=0.000747811 t=57107
biu1 cim1 	標籤	c=19 d=8.49183e-44 t=57107
biu1 syu1 	標書	c=3 d=6.0205e-53 t=57107
biu1 tai4 	標題	c=16 d=5.71404e-05 t=57107
biu1 zeon2 	標準	c=9 d=3.82099e-06 t=57107
biu1 zyu3 	標註	c=11 d=5.86319e-36 t=57107
biu2 daan1 	表單	c=1 d=0.000490542 t=57107
biu2 daat6 	表達	c=3 d=2.73722e-44 t=57107
biu2 dai2 	表弟	c=1 d=2.22282e-15 t=57107
biu2 gaak3 	表格	c=4 d=6.06511e-30 t=57107
biu2 jin2 	表演	c=1 d=4.48965e-109 t=57107
biu2 leoi5 	表裏	c=1 d=1.26823e-119 t=57107
biu2 si6 	表示	c=2 d=1.56368e-24 t=57107
bo1 	波	c=10 d=1.64268e-45 t=57107
bo1 lei1 	玻璃	c=2 d=0.891366 t=57107
bo1 si1 	波斯	c=1 d=3.02962e-11 t=57107
bo3 	播	c=10 d=2.00713e-85 t=57107
bo3 fong3 	播放	c=7 d=1.26465e-27 t=57107
bok3 	博	c=1 d=3.64432e-96 t=57107
bok3 coi2 	博彩	c=1 d=7.54297e-66 t=57107
bok3 haak3 	博客	c=2 d=3.15864e-14 t=57107
bok6 ho4 	薄荷	c=1 d=6.05686e-14 t=57107
bong1 	幫	c=46 d=0.000787585 t=57107
bong1 ding6 	邦定	c=1 d=9.35164e-124 t=57107
bong1 mong4 	幫忙	c=31 d=0.32628 t=57107
bong1 sau2 	幫手	c=4 d=1.38903e-13 t=57107
bong1 zo6 	幫助	c=2 d=0.00419023 t=57107
bong2 ding6 	綁定	c=17 d=1.50939e-07 t=57107
bou1 zuk1 	煲粥	c=3 d=0.0363209 t=57107
bou2 	保	c=2 d=1.74035e-48 t=57107
bou2 	寶	c=3 d=1.4645e-76 t=57107
bou2 	補	c=14 d=3.54852e-18 t=57107
bou2 bou2 	寶寶	c=1 d=9.56648e-09 t=57107
bou2 cung1 	補充	c=6 d=9.12658e-14 t=57107
bou2 cyun4 	保存	c=50 d=0.270673 t=57107
bou2 gaau1 	補交	c=1 d=2.08258e-13 t=57107
bou2 giu2 	補繳	c=1 d=1.76623e-104 t=57107
bou2 gun2 	保管	c=1 d=2.86322e-111 t=57107
bou2 him2 	保險	c=9 d=5.86767e-23 t=57107
bou2 lau4 	保留	c=9 d=2.23025e-24 t=57107
bou2 sau2 	保守	c=1 d=7.90276e-26 t=57107
bou2 wan1 	保溫	c=4 d=1.37708e-29 t=57107
bou2 wu6 	保護	c=1 d=4.12912e-36 t=57107
bou2 zaap6 	補習	c=1 d=4.45269e-100 t=57107
bou2 zing3 	保證	c=5 d=1.35511e-75 t=57107
bou2 zing3 gam1 	保證金	c=1 d=1.38244e-104 t=57107
bou3 	埔	c=6 d=4.3406e-90 t=57107
bou3 	報	c=28 d=1.3108 t=57107
bou3 	布	c=1 d=6.95312e-108 t=57107
bou3 biu2 	報表	c=15 d=4.90014e-05 t=57107
bou3 co3 	報錯	c=20 d=0.460704 t=57107
bou3 gaa3 	報價	c=5 d=4.96839e-07 t=57107
bou3 gou3 	報告	c=6 d=7.36222e-16 t=57107
bou3 guk6 	佈局	c=1 d=2.8199e-20 t=57107
bou3 gung1 	報功	c=1 d=2.00624e-103 t=57107
bou3 ji5 zik6 	布爾值	c=2 d=8.06927e-36 t=57107
bou3 man4 	報文	c=1 d=1.04824e-113 t=57107
bou3 meng2 	報名	c=3 d=1.30316e-52 t=57107
bou3 ming6 	報命	c=1 d=3.04046e-53 t=57107
bou3 siu1 	報銷	c=1 d=3.31066e-84 t=57107
bou6 	暴	c=1 d=4.87135e-69 t=57107
bou6 	步	c=3 d=1.85685e-38 t=57107
bou6 	部	c=4 d=3.50142e-96 t=57107
bou6 cyu5 	部署	c=121 d=0.0015179 t=57107
bou6 fan6 	部分	c=37 d=0.000290206 t=57107
bou6 gwong1 	曝光	c=2 d=5.77685e-06 t=57107
bou6 hang4 	步行	c=4 d=2.94308e-23 t=57107
bou6 jyu5 	暴雨	c=1 d=4.84937e-104 t=57107
bou6 leoi4 	暴雷	c=1 d=7.53631e-85 t=57107
bou6 lik6 	暴力	c=1 d=5.93553e-70 t=57107
bou6 mun4 	部門	c=2 d=5.39827e-15 t=57107
bou6 wok6 	捕獲	c=2 d=9.69228e-45 t=57107
bou6 zaau6 	步驟	c=3 d=5.47163e-19 t=57107
bui1 	杯	c=2 d=1.18652e-12 t=57107
bui1 zi2 	杯子	c=1 d=8.66882e-85 t=57107
bui3 dei6 	背地	c=1 d=2.63822e-60 t=57107
bui3 ging2 	背景	c=15 d=2.13714 t=57107
bui3 zi2 	輩子	c=1 d=8.71227e-85 t=57107
buk1 	卜	c=1 d=7.81747e-16 t=57107
bun1 	搬	c=6 d=1.90988e-24 t=57107
bun1 	般	c=2 d=5.73705e-74 t=57107
bun1 zyun1 	搬磚	c=1 d=1.34666e-119 t=57107
bun2 	本	c=19 d=2.31992e-18 t=57107
bun2 dei6 	本地	c=31 d=1.75113e-16 t=57107
bun2 gam1 	本金	c=30 d=7.722e-17 t=57107
bun2 gei1 	本機	c=6 d=5.35063e-88 t=57107
bun2 loi4 	本來	c=6 d=3.22693e-18 t=57107
bun2 san1 	本身	c=2 d=4.52875e-64 t=57107
bun2 zau1 	本週	c=6 d=5.08558e-64 t=57107
bun3 	半	c=28 d=0.024375 t=57107
bun3 go3 	半個	c=1 d=3.08336e-12 t=57107
bun3 je2 	半夜	c=1 d=3.33892e-37 t=57107
bun3 nin4 	半年	c=2 d=2.12979e-12 t=57107
bun3 siu2 si4 	半小時	c=1 d=1.20638e-119 t=57107
caa1 	差	c=14 d=0.00228852 t=57107
caa1 bat1 do1 	差不多	c=14 d=4.82155e-07 t=57107
caa1 bit6 	差別	c=1 d=5.05072e-112 t=57107
caa1 gaa3 	差價	c=1 d=2.04852e-113 t=57107
caa1 ji6 	差異	c=4 d=2.67436e-73 t=57107
caa1 m4 do1 	差唔多	c=3 d=2.77854e-51 t=57107
caa4 	搽	c=1 d=3.74306e-87 t=57107
caa4 	查	c=61 d=0.000271829 t=57107
caa4 bat1 	查不	c=1 d=1.07873e-68 t=57107
caa4 ceot1 loi4 	查出來	c=1 d=8.40833e-79 t=57107
caa4 co3 	查錯	c=1 d=1.523e-08 t=57107
caa4 hon3 	查看	c=15 d=1.63766e-09 t=57107
caa4 jip6 	茶葉	c=1 d=1.08333e-118 t=57107
caa4 seon1 	查詢	c=20 d=0.000129015 t=57107
caa4 zaau2 	查找	c=1 d=3.77734e-106 t=57107
caai1 	猜	c=1 d=5.38826e-79 t=57107
caai1 caak1 	猜測	c=3 d=1.07664e-78 t=57107
caai4 fo2 	柴火	c=1 d=4.64419e-66 t=57107
caak1 	測	c=22 d=2.80226e-49 t=57107
caak1 fuk6 	測服	c=2 d=6.67934e-106 t=57107
caak1 loeng4 	測量	c=1 d=1.14774e-121 t=57107
caak1 si3 	測試	c=49 d=0.000319236 t=57107
caak3 	拆	c=5 d=2.65885e-34 t=57107
caak3 	策	c=1 d=3.12933e-39 t=57107
caak3 hoi1 	拆開	c=1 d=0.00280879 t=57107
caak3 laan4 	柵欄	c=2 d=6.91026e-110 t=57107
caak3 loek6 	策略	c=2 d=7.36472e-18 t=57107
caak3 waak6 	策劃	c=1 d=1.79207e-69 t=57107
